Հայաստան,{{hy-noun-ի-ներ|unc=on}}
Հայաստանի Հանրապետություն,{{hy-noun-ություն|unc=on}}
հայերեն,{{hy-noun-ի-ներ|unc=on}}~{{hy-noun-ի-ներ}}
Ամերիկա,{{hy-noun-ի-ներ}}
հայկական,{{hy-noun-ի-ներ|n=on}}
հայ,{{hy-noun-ի-եր|a=on}}~{{hy-noun-ի-եր|a=on}}
հայուհի,{{hy-noun-ու-ներ|a=on}}
Լեհաստան,{{hy-noun-ի-ներ|unc=on}}
Հնդկաստան,{{hy-noun-ի-ներ|unc=on}}
համակարգ,{{hy-noun-ի-եր}}
թիթեռնակ,{{hy-noun-ի-ներ|a=on}}
չինարեն,{{hy-noun-ի-ներ|unc=on}}
Գերմանիա,{{hy-noun-ի-ներ}}
Իսպանիա,{{hy-noun-ի-ներ||Իսպանիայ|vowend=on|unc=on}}
Ֆրանսիա,{{hy-noun-ի-ներ|unc=on||Ֆրանսիայ|vowend=on}}
Եվրոպա,{{hy-noun-ի-ներ|unc=on}}
Հունաստան,{{hy-noun-ի-ներ|unc=on}}
Թուրքիա,{{hy-noun-ի-ներ|unc=on||Թուրքիայ|vowend=on}}
ռուսերեն,{{hy-noun-ի-ներ|unc=on}}~{{hy-noun-ի-ներ|n=on}}
Ռուսաստան,{{hy-noun-ի-ներ|unc=on}}
հունարեն,{{hy-noun-ի-ներ|unc=on}}~{{hy-noun-ի-ներ}}
Պարսկաստան,{{hy-noun-ի-ներ|unc=on}}
Վրաստան,{{hy-noun-ի-ներ|unc=on}}
վրացերեն,{{hy-noun-ի-ներ|unc=on}}
գյուղ,{{hy-noun-ի-եր}}
կաղնի,{{hy-noun-ու-ներ||կաղն}}
անգլիական,{{hy-noun-ի-ներ|n=on}}
դիմակ,{{hy-noun-ի-ներ}}
պաչիկ,{{hy-noun-ի-ներ}}
պարսկերեն,{{hy-noun-ի-ներ|unc=on}}
ազատություն,{{hy-noun-ություն}}
սեր,{{hy-noun-ի-եր|unc=on}}
կարմիր,{{hy-noun-ի-ներ|n=on}}~{{hy-noun-ի-ներ}}~{{hy-noun-ի-ներ||կարմր}}
հետաքրքիր,{{hy-noun-ի-ներ|n=on}}
նետ,{{hy-noun-ի-եր}}
ադամաթուզ,{{hy-noun-ի-եր||ադամաթզ}}
կապույտ,{{hy-noun-ի-ներ|n=on}}~{{hy-noun-ի-ներ|n=on|a=on}}~{{hy-noun-ի-ներ}}~{{hy-noun-ի-ներ|a=on}}
սպիտակ,{{hy-noun-ի-ներ|n=on}}~{{hy-noun-ի-ներ|unc=on}}
դարչնագույն,{{hy-noun-ի-ներ|n=on}}~{{hy-noun-ի-ներ|unc=on}}
նարնջագույն,{{hy-noun-ի-ներ|n=on}}~{{hy-noun-ի-ներ|unc=on}}
կանաչ,{{hy-noun-ի-ներ|n=on}}~{{hy-noun-ի-ներ}}
կաթ,{{hy-noun-ի-եր|unc=on}}
կատու,{{hy-noun-ի-ներ||կատվ|vowend=on|a=on}}~{{hy-noun-ի-ներ|vowend=on|a=on}}
կով,{{hy-noun-ի-եր|a=on}}
խոզ,{{hy-noun-ի-եր|a=on}}~{{hy-noun-ի-եր}}
կապիկ,{{hy-noun-ի-ներ|a=on}}~{{hy-noun-ի-ներ|a=on||կապկ}}
մուկ,{{hy-noun-ան-եր||մկ||մկն|a=on}}
փիղ,{{hy-noun-ի-եր|a=on||փղ}}
ձուկ,{{hy-noun-ան-եր||ձկ||ձկն|a=on}}
հունվար,{{hy-noun-ի-ներ}}
փետրվար,{{hy-noun-ի-ներ}}
մարտ,{{hy-noun-ի-եր}}~{{hy-noun-ի-եր}}
ապրիլ,{{hy-noun-ի-ներ}}
մայիս,{{hy-noun-ի-ներ}}
հունիս,{{hy-noun-ի-ներ}}
հուլիս,{{hy-noun-ի-ներ}}
օգոստոս,{{hy-noun-ի-ներ}}
սեպտեմբեր,{{hy-noun-ի-ներ}}
հոկտեմբեր,{{hy-noun-ի-ներ}}
նոյեմբեր,{{hy-noun-ի-ներ}}
դեկտեմբեր,{{hy-noun-ի-ներ}}
պարսկահայ,{{hy-noun-ի-եր|a=on}}~{{hy-noun-ի-եր|n=on}}
իսպանական,{{hy-noun-ի-ներ|n=on}}
վայրկյան,{{hy-noun-ի-ներ}}~{{hy-noun-վա-ներ|note=colloquial}}
րոպե,{{hy-noun-ի-ներ}}~{{hy-noun-վա-ներ||րոպեյ||րոպե|note=colloquial}}
ժամ,{{hy-noun-վա-եր}}~{{hy-noun-ի-եր}}
օր,{{hy-noun-վա-եր}}~{{hy-noun-ի-եր}}
շաբաթ,{{hy-noun-վա-ներ}}~{{hy-noun-ի-ներ}}
